repo,url,decision,reason,diskUsage,isArchived,notion_matched
byron-electrical-services-preview-d8ym,https://github.com/nsheetzdesign/byron-electrical-services-preview-d8ym,DELETE,preview-style name (generated site),21,False,
c-d-automotive-preview-r8cz,https://github.com/nsheetzdesign/c-d-automotive-preview-r8cz,DELETE,preview-style name (generated site),24,False,
caldwell-plumbing-co-preview-8u89,https://github.com/nsheetzdesign/caldwell-plumbing-co-preview-8u89,DELETE,preview-style name (generated site),25,False,
campos-cleaning-service-preview-sld8,https://github.com/nsheetzdesign/campos-cleaning-service-preview-sld8,DELETE,preview-style name (generated site),24,False,
captain-rooter-emergency-plumbers-preview-jfgt,https://github.com/nsheetzdesign/captain-rooter-emergency-plumbers-preview-jfgt,DELETE,preview-style name (generated site),21,False,
captain-rooter-emergency-plumbers-preview-zdlv,https://github.com/nsheetzdesign/captain-rooter-emergency-plumbers-preview-zdlv,DELETE,preview-style name (generated site),3,False,
cardinal-drywall-and-painting-services-preview-m4ua,https://github.com/nsheetzdesign/cardinal-drywall-and-painting-services-preview-m4ua,DELETE,preview-style name (generated site),26,False,
carol-stream-heating-cooling-preview-ho2c,https://github.com/nsheetzdesign/carol-stream-heating-cooling-preview-ho2c,DELETE,preview-style name (generated site),21,False,
carol-stream-heating-cooling-preview-u3oc,https://github.com/nsheetzdesign/carol-stream-heating-cooling-preview-u3oc,DELETE,preview-style name (generated site),3,False,
carol-stream-motortek-preview-scyb,https://github.com/nsheetzdesign/carol-stream-motortek-preview-scyb,DELETE,preview-style name (generated site),21,False,
carol-stream-motortek-preview-zwog,https://github.com/nsheetzdesign/carol-stream-motortek-preview-zwog,DELETE,preview-style name (generated site),4,False,
chicago-drain-masters-plumbing-24-7-preview-2499,https://github.com/nsheetzdesign/chicago-drain-masters-plumbing-24-7-preview-2499,DELETE,preview-style name (generated site),3,False,
chicago-heating-cooling-preview-q0yy,https://github.com/nsheetzdesign/chicago-heating-cooling-preview-q0yy,DELETE,preview-style name (generated site),24,False,
chicago4wd-auto-repair-preview-fj7g,https://github.com/nsheetzdesign/chicago4wd-auto-repair-preview-fj7g,DELETE,preview-style name (generated site),4,False,
ciosek-tree-services-preview-6r8s,https://github.com/nsheetzdesign/ciosek-tree-services-preview-6r8s,DELETE,preview-style name (generated site),3,False,
cleaning-service-in-elmhurst-preview-6t5t,https://github.com/nsheetzdesign/cleaning-service-in-elmhurst-preview-6t5t,DELETE,preview-style name (generated site),4,False,
cleaning-service-in-elmhurst-preview-sb3w,https://github.com/nsheetzdesign/cleaning-service-in-elmhurst-preview-sb3w,DELETE,preview-style name (generated site),21,False,
colab_demo,https://github.com/nsheetzdesign/colab_demo,DELETE,REVIEW→DELETE (operator included),0,False,
cool-flow-automotive-preview-j48d,https://github.com/nsheetzdesign/cool-flow-automotive-preview-j48d,DELETE,preview-style name (generated site),21,False,
cool-flow-automotive-preview-sso6,https://github.com/nsheetzdesign/cool-flow-automotive-preview-sso6,DELETE,preview-style name (generated site),2,False,
crawford-roofing-solutions-preview-ozdp,https://github.com/nsheetzdesign/crawford-roofing-solutions-preview-ozdp,DELETE,preview-style name (generated site),21,False,
crawford-roofing-solutions-preview-pl9r,https://github.com/nsheetzdesign/crawford-roofing-solutions-preview-pl9r,DELETE,preview-style name (generated site),3,False,
cruz-fence-llc-preview-b5c0,https://github.com/nsheetzdesign/cruz-fence-llc-preview-b5c0,DELETE,preview-style name (generated site),21,False,
cruz-fence-llc-preview-m2px,https://github.com/nsheetzdesign/cruz-fence-llc-preview-m2px,DELETE,preview-style name (generated site),0,False,
darrell-drywall-painting-preview-03ol,https://github.com/nsheetzdesign/darrell-drywall-painting-preview-03ol,DELETE,preview-style name (generated site),21,False,
darrell-drywall-painting-preview-8934,https://github.com/nsheetzdesign/darrell-drywall-painting-preview-8934,DELETE,preview-style name (generated site),0,False,
dash-electrician-preview-o79m,https://github.com/nsheetzdesign/dash-electrician-preview-o79m,DELETE,preview-style name (generated site),21,False,
dash-electrician-preview-zj9t,https://github.com/nsheetzdesign/dash-electrician-preview-zj9t,DELETE,preview-style name (generated site),0,False,
davies-painting-decorating-preview-1f22,https://github.com/nsheetzdesign/davies-painting-decorating-preview-1f22,DELETE,preview-style name (generated site),25,False,
dehne-handyman-preview-9v0o,https://github.com/nsheetzdesign/dehne-handyman-preview-9v0o,DELETE,preview-style name (generated site),24,False,
